video_id,title,channel_title,category_id,tags,views,likes,dislikes,comment_total,thumbnail_link,date
jt2OHQh0HoQ,"Live Apple Event - Apple September Event 2017 - iPhone 8, iPhone X, iOS 11 - Apple Keynote","Apple Event",28,apple events|apple event|iphone 8|iphone x|iphone 8 plus|iphone 7s|iphone 7s plus|ios 11,7426393,78240,13548,705,https://i.ytimg.com/vi/jt2OHQh0HoQ/default_live.jpg,13.09
AqokkXoa7uE,"Holly and Phillip Meet Samantha the Sex Robot | This Morning","This Morning",24,this morning|interview|holly willoughby|phillip schofield|ruth langsford|eamonn holmes|chat shows - topic|chat show - topic|talk shows - topic|sex robot|samantha|real life,494203,2651,1309,0,https://i.ytimg.com/vi/AqokkXoa7uE/default.jpg,13.09
YPVcg45W0z4,"My DNA Test Results! I'm WHAT?!","emmablackery",24,emmablackery|emma blackery|emma|blackery|british vlogger|british youtuber|female vlogger|birdyboots|dna test|23andme|ancestry,142819,13119,151,1141,https://i.ytimg.com/vi/YPVcg45W0z4/default.jpg,13.09
T_PuZBdT2iM,"getting into a conversation in a language you don't actually speak that well","ProZD",1,skit|korean|language|conversation|esl|japanese|foreign|communication|don't speak|struggle|foreigner|lotte mart|korea|south|weather|good|tutorial,1580028,65729,1529,3598,https://i.ytimg.com/vi/T_PuZBdT2iM/default.jpg,13.09
NsjsmgmbCfc,"Baby Name Challenge!","Sprinkleofglitter",26,sprinkleofglitter|sprinkle of glitter|baby glitter|Louise Pentland|Louise Pentland Baby Name|Mrs Meldrum|Baby Names|Nice baby names|Unusual baby names,40592,5019,57,490,https://i.ytimg.com/vi/NsjsmgmbCfc/default.jpg,13.09
zZ2CLmvqfXg,"REVEALED - FIFA 18 stats for Chelsea's Hazard, Luiz & Christensen!","Rio Ferdinand Presents FIVE",24,Rio Ferdinand|Rio|Ferdinand|5 Magazine|5 Mag|#5|5 Rio Ferdinand|Rio Ferdinand interview|football|soccer|interview|Manchester United|Man United|fifa 18|fut 18|fut|fifa ratings|fifa 18 ratings|chelsea|chelsea fc|chelsea f.c|David Luiz|Eden Hazard|Christensen|Premier League|Champions League|Fifa18|Hazard Fifa 18|David Luiz Fifa 18|Christensen Fifa 18|Chelsea Fifa 18|Pack Opening|Fifa Pack Opening|Fifa 18 Pack Opening|Fifa 18 official Ratings,317696,9449,135,464,https://i.ytimg.com/vi/zZ2CLmvqfXg/default.jpg,13.09
w8fAellnPns,"Juicy Chicken Breast - You Suck at Cooking (episode 65)","You Suck At Cooking",26,how to|cooking|recipe|kitchen|chicken|chicken breast|juicy chicken breast|baked chicken breast|hummus|cumin|comedy|funny|juicy,479291,23935,638,1941,https://i.ytimg.com/vi/w8fAellnPns/default.jpg,13.09
LcZ2AuvxXNA,"Nerf Bow Trick Shots | Dude Perfect","Dude Perfect",17,dude perfect|dude perfect stereotypes|dude perfect water bottle flip|bottle flip|water bottle flip|dude perfect bottle flip|dude perfect basketball|dp|dude perfect world record|edition|nerf|trick shots|trick shot|family|ping pong|bowling|clean|family friendly|bubble wrap|soccer|football|spinner|spinners|fidget spinners|dude|bow|arrow|archery|toy|target|moving|bottle|bust|crossbow|bow and arrow|kids|archery trick shots,10532409,384841,7547,23849,https://i.ytimg.com/vi/LcZ2AuvxXNA/default.jpg,13.09
lamseWekh8Y,"Weekend in BRIGHTON with Mike! | Fleur De Vlog","FleurDeVlog",22,fleurdevlog|fleur de vlog|fleurdeforce|fleur de force|vlogger|daily vlog|monthly vlog|my weekend|weekend|brighton|uk|sunny|seaside|summer|travel|husband|mike|de force,65453,2761,33,223,https://i.ytimg.com/vi/lamseWekh8Y/default.jpg,13.09
QBGaO89cBMI,"Radiohead - Lift","Radiohead",10,radiohead|lift|ok computer|oknotok,751743,42272,358,3250,https://i.ytimg.com/vi/QBGaO89cBMI/default.jpg,13.09
r4RfsfD6ZhM,"iPhone leaks (YIAY #355)","jacksfilms",23,jacksfilms|yiay|iphone|2017|iphone 8|iphone x|apple,1121715,65988,591,51025,https://i.ytimg.com/vi/r4RfsfD6ZhM/default.jpg,13.09
gFIUXqcOulA,"Flinch w/ Fifth Harmony","The Late Late Show with James Corden",24,James Corden|The Late Late Show|Colbert|late night|late night show|Stephen Colbert|Comedy|monologue|comedian|impressions|celebrities|carpool|karaoke|CBS|Late Late Show|Corden|joke|jokes|funny|funny video|funny videos|humor|celebrity|celeb|hollywood|famous|fifth harmony|flinch,199102,14916,324,1098,https://i.ytimg.com/vi/gFIUXqcOulA/default.jpg,13.09
eM_FR7I2Ttw,"Harry Styles - The Chain (Fleetwood Mac cover) in the Live Lounge","BBCRadio1VEVO",10,Harry Styles|Fleetwood Mac|The Chain|BBC|Radio 1|Live Lounge,1024398,61352,967,4097,https://i.ytimg.com/vi/eM_FR7I2Ttw/default.jpg,13.09
